rxn	MGYG000000076	MGYG000005177	MGYG000049266	MGYG000073722	MGYG000082523	MGYG000111157	MGYG000142005	MGYG000164457	MGYG000167059	MGYG000241626	MGYG000258880	MGYG000278633
rxn00107_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00113_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00114_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00117_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00119_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00121_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00122_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00126_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00132_c0	1	0	1	0	1	1	1	0	0	0	1	1
rxn00137_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00138_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00139_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00141_c0	0	0	0	1	1	0	0	0	0	0	0	0
rxn00143_c0	1	1	1	0	0	1	1	1	1	1	1	1
rxn00147_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00148_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00157_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00159_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00161_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00162_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00165_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00173_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00174_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00175_c0	0	0	0	0	0	0	1	1	0	0	0	0
rxn00176_c0	0	0	0	0	0	0	1	1	0	0	0	0
rxn00178_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00179_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00182_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00184_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00187_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00189_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00190_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00191_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00192_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00193_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00196_c0	0	0	0	0	0	0	1	1	0	0	0	0
rxn00198_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00199_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00203_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00204_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00211_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00212_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00213_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00214_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00216_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00222_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00224_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00225_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00226_c0	0	0	0	0	0	0	1	1	0	0	0	0
rxn00231_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00237_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00238_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00239_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00242_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00247_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00256_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00260_c0	1	1	1	1	1	1	1	1	1	1	1	1
rxn00262_c0	1	1	1	1	1	1	1	1	1	1	1	1
