rxn	MGYG000000074	MGYG000006284	MGYG000006869	MGYG000006906	MGYG000030607	MGYG000063312	MGYG000072808	MGYG000140008	MGYG000148481	MGYG000233340
rxn00461_c0	1	1	1	1	1	1	1	1	1	1
rxn00463_c0	1	1	1	1	1	1	1	1	1	1
rxn00467_c0	0	1	0	0	0	0	0	0	0	0
rxn00469_c0	1	0	1	1	1	1	1	1	1	1
rxn00470_c0	1	1	1	1	1	1	1	1	1	1
rxn00473_c0	1	0	1	1	1	1	1	1	1	1
rxn00474_c0	1	0	1	1	1	1	1	1	1	1
rxn00493_c0	1	0	1	1	1	1	1	1	1	1
rxn00495_c0	1	1	1	1	1	1	1	1	1	1
rxn00500_c0	1	0	1	1	1	1	1	1	1	1
rxn00505_c0	1	0	1	1	1	1	1	1	1	1
rxn00506_c0	1	0	1	1	1	0	1	1	1	1
rxn00512_c0	1	0	1	1	1	1	1	1	1	1
rxn00514_c0	1	1	1	1	1	1	1	1	1	1
rxn00517_c0	1	1	1	1	1	1	1	1	1	1
rxn00527_c0	1	0	1	1	1	1	1	1	1	1
rxn00530_c0	1	1	1	1	1	1	1	1	1	1
rxn00532_c0	0	1	0	0	0	0	0	0	0	0
rxn00533_c0	1	1	1	1	1	1	1	1	1	1
rxn00536_c0	1	1	1	1	1	1	1	1	1	1
rxn00543_c0	1	1	1	1	1	1	1	1	1	1
rxn00545_c0	1	0	1	1	1	1	1	1	1	1
rxn00546_c0	1	0	1	1	1	1	1	1	1	1
rxn00549_c0	1	0	1	1	1	1	1	1	1	1
rxn00551_c0	1	1	1	1	1	1	1	1	1	1
rxn00552_c0	1	1	1	1	1	1	1	1	1	1
rxn00554_c0	1	0	1	1	1	1	1	1	1	1
rxn00555_c0	1	1	1	1	1	1	1	1	1	1
rxn00556_c0	1	0	1	1	1	1	1	1	1	1
rxn00557_c0	1	0	1	1	1	1	1	1	1	1
rxn00558_c0	1	1	1	1	1	1	1	1	1	1
rxn00559_c0	1	1	1	1	0	1	0	1	1	1
rxn00566_c0	1	0	1	1	1	1	1	1	1	1
rxn00575_c0	0	0	0	1	0	0	0	1	0	0
rxn00602_c0	1	1	1	1	1	1	1	1	1	1
rxn00605_c0	0	0	0	0	0	0	0	1	0	0
rxn00612_c0	0	1	0	0	0	0	0	0	0	0
rxn00615_c0	1	1	1	1	1	1	1	1	1	1
rxn00634_c0	1	0	1	1	1	1	1	1	1	1
rxn00638_c0	1	0	1	1	1	1	1	1	1	1
rxn00641_c0	1	0	1	1	1	1	1	1	1	1
