rxn	MGYG000000074	MGYG000006284	MGYG000006869	MGYG000006906	MGYG000030607	MGYG000063312	MGYG000072808	MGYG000140008	MGYG000148481	MGYG000233340
rxn00278_c0	1	0	1	1	1	1	1	1	1	1
rxn00283_c0	1	0	1	1	1	1	1	1	1	1
rxn00286_c0	0	1	0	0	0	0	0	0	0	0
rxn00293_c0	1	1	1	1	1	1	1	1	1	1
rxn00295_c0	1	1	1	1	1	1	1	1	1	1
rxn00299_c0	1	1	1	1	1	1	1	1	1	1
rxn00300_c0	1	1	1	1	1	1	1	1	1	1
rxn00301_c0	1	1	1	1	1	1	1	1	1	1
rxn00302_c0	1	0	1	1	1	1	1	1	1	1
rxn00303_c0	1	0	1	1	1	1	1	1	1	1
rxn00304_c0	1	1	1	1	1	1	1	1	1	1
rxn00313_c0	1	0	1	1	1	1	1	1	1	1
rxn00331_c0	0	1	0	0	0	0	0	0	0	0
rxn00337_c0	1	1	1	1	1	1	1	1	1	1
rxn00338_c0	1	0	1	1	1	1	1	1	1	1
rxn00340_c0	1	1	1	1	1	1	1	1	1	1
rxn00342_c0	1	1	1	1	1	1	1	1	1	1
rxn00346_c0	1	1	1	1	1	1	1	1	1	1
rxn00347_c0	1	0	1	1	1	1	1	1	1	1
rxn00351_c0	1	1	1	1	1	1	1	1	1	1
rxn00356_c0	1	0	1	1	1	1	1	0	1	0
rxn00359_c0	1	1	1	1	1	1	1	1	1	1
rxn00363_c0	1	1	1	1	1	1	1	1	1	1
rxn00364_c0	1	1	1	1	1	1	1	1	1	1
rxn00365_c0	1	1	1	1	1	1	1	1	1	1
rxn00368_c0	1	1	1	1	1	1	1	1	1	1
rxn00369_c0	1	1	1	1	1	1	1	1	1	1
rxn00391_c0	1	1	1	1	1	1	1	1	1	1
rxn00392_c0	1	1	1	1	1	1	1	1	1	1
rxn00410_c0	1	1	1	1	1	1	1	1	1	1
rxn00411_c0	1	1	1	1	1	1	1	1	1	1
rxn00412_c0	1	1	1	1	1	1	1	1	1	1
rxn00414_c0	1	0	1	1	1	1	1	1	1	1
rxn00416_c0	1	1	1	1	1	1	1	1	1	1
rxn00420_c0	1	1	1	1	1	1	1	1	1	1
rxn00426_c0	1	0	1	1	1	1	1	1	1	1
rxn00427_c0	1	0	1	1	1	1	1	1	1	1
rxn00430_c0	1	1	1	1	1	1	1	1	1	1
rxn00438_c0	0	1	0	0	0	0	0	0	0	0
rxn00440_c0	1	0	1	1	1	1	1	1	1	1
rxn00442_c0	1	0	1	1	1	1	1	1	1	1
rxn00453_c0	1	0	1	1	1	1	1	1	1	1
rxn00456_c0	1	0	1	1	1	1	1	1	1	1
rxn00459_c0	1	1	1	1	1	1	1	1	1	1
rxn00460_c0	1	1	1	1	1	1	1	1	1	1
