rxn	MGYG000000099	MGYG000005380	MGYG000006816	MGYG000028321	MGYG000044926	MGYG000055012	MGYG000057648	MGYG000151681	MGYG000172598	MGYG000173425	MGYG000187342	MGYG000217838	MGYG000266151
EX_cpd11632_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11640_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd11976_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd15494_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd15560_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd15561_e0	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd17026_e0	0	0	0	0	1	1	0	0	0	0	0	0	0
EX_cpd17027_e0	0	0	0	0	1	1	0	0	0	0	0	0	0
EX_cpd23431_e0	1	1	1	1	1	1	1	1	1	0	1	1	0
bio1	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00001_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00003_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00006_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00010_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00011_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00016_c0	0	0	0	0	0	0	1	0	0	0	0	0	0
rxn00022_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00029_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00060_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00062_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00070_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00076_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00077_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00085_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00086_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00088_c0	0	0	1	1	0	1	1	0	0	0	0	1	0
rxn00097_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00100_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00102_c0	1	1	1	0	1	0	1	0	0	0	0	1	0
rxn00103_c0	1	1	1	1	1	1	1	1	1	0	1	0	0
rxn00106_c0	1	1	1	1	1	1	1	1	1	1	1	1	0
rxn00107_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00113_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00114_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00117_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00119_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00120_c0	1	1	1	1	1	1	1	1	1	0	1	1	0
rxn00121_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
rxn00122_c0	1	1	1	1	1	1	1	1	1	1	1	1	1
